full_date,date,weekday,time,mood,activities,note
2019-12-21,21 December,Saturday,2:00 pm,Great,"Alone | Nails or hair",""
2019-12-20,20 December,Friday,9:00 pm,Great,"Alone | Family | Watching TV | Reading",""
2019-12-20,20 December,Friday,2:00 pm,Happy,"Alone | Programming",""
2019-12-19,19 December,Thursday,9:18 pm,Happy,"Alone | Yoga | Cooking | Reading",""
2019-12-19,19 December,Thursday,2:00 pm,Happy,"Alone | Dog walk | Gaming",""
2019-12-18,18 December,Wednesday,7:50 pm,Happy,"Boyfriend | Dined Out",""
2019-12-17,17 December,Tuesday,9:00 pm,Happy,"Alone | Yoga | Watching TV",""
2019-12-16,16 December,Monday,9:00 pm,Happy,"Family | Dog walk | Reading",""
2019-12-16,16 December,Monday,2:00 pm,Happy,"Alone | Programming",""
2019-12-15,15 December,Sunday,9:00 pm,Happy,"Alone | Gaming",""
2019-12-15,15 December,Sunday,2:00 pm,Happy,"Boyfriend | Shopping",""
2019-12-14,14 December,Saturday,9:07 pm,Great,"Alone | Gaming",""
2019-12-14,14 December,Saturday,2:05 pm,Great,"Alone | Boyfriend | Watching TV | Shopping",""
2019-12-13,13 December,Friday,9:00 pm,Great,"Boyfriend | Special Outing","Harry Potter play"
2019-12-13,13 December,Friday,2:03 pm,Happy,"Alone | Gaming",""
2019-12-12,12 December,Thursday,9:00 pm,Happy,"Boyfriend | Special Outing","Harry Potter play"
2019-12-12,12 December,Thursday,2:10 pm,Happy,"Alone | Gaming | Programming",""
2019-12-11,11 December,Wednesday,10:22 pm,Happy,"Boyfriend | Family | Dined Out",""
2019-12-11,11 December,Wednesday,2:20 pm,Alright,"Alone | Programming",""
2019-12-10,10 December,Tuesday,9:00 pm,Alright,"Alone | Gaming",""
2019-12-10,10 December,Tuesday,2:32 pm,Alright,"Alone | Cooking",""
2019-12-09,9 December,Monday,9:00 pm,Alright,"Alone | Gaming",""
2019-12-09,9 December,Monday,2:00 pm,Alright,"Colleagues | Work | Dined Out",""
2019-12-08,8 December,Sunday,9:00 pm,Happy,"Boyfriend | Watching TV | Dined Out",""
2019-12-08,8 December,Sunday,2:28 pm,Happy,"Family | Nails or hair | Shopping",""
2019-12-07,7 December,Saturday,9:14 pm,Alright,"Family | Dined Out",""
2019-12-07,7 December,Saturday,2:00 pm,Happy,"Family | Shopping",""
2019-12-06,6 December,Friday,9:00 pm,Not happy,"Alone | Dog walk | Watching TV",""
2019-12-06,6 December,Friday,12:14 pm,Depressed,"Colleagues | Work",""
2019-12-05,5 December,Thursday,9:00 pm,Alright,"Family | Dog walk | Watching TV",""
2019-12-05,5 December,Thursday,4:05 pm,Alright,"Colleagues | Work | Programming",""
2019-12-04,4 December,Wednesday,9:00 pm,Alright,"Family | Watching TV",""
2019-12-04,4 December,Wednesday,2:22 pm,Not happy,"Alone | Boyfriend | Work | Programming",""
2019-12-03,3 December,Tuesday,9:05 pm,Happy,"Alone | Gaming",""
2019-12-03,3 December,Tuesday,3:01 pm,Alright,"Alone | Colleagues | Work | Programming | Shopping",""
2019-12-02,2 December,Monday,9:00 pm,Not happy,"Alone | Gaming",""
2019-12-02,2 December,Monday,2:00 pm,Not happy,"Colleagues | Work | Programming",""
2019-12-01,1 December,Sunday,9:00 pm,Happy,"Alone | Watching TV",""
2019-12-01,1 December,Sunday,5:33 pm,Alright,"Boyfriend | Friends | Dined Out | Travelling",""
2019-11-30,30 November,Saturday,9:00 pm,Happy,"Alone | Watching TV | On Holiday",""
2019-11-30,30 November,Saturday,2:00 pm,Happy,"Friends | Dined Out | Special Outing | On Holiday","Beach"
2019-11-29,29 November,Friday,7:25 am,Happy,"Boyfriend | Friends | Shopping | Dined Out | Drinks | On Holiday",""
2019-11-28,28 November,Thursday,9:00 pm,Happy,"Friends | Dined Out | Drinks | On Holiday",""
2019-11-28,28 November,Thursday,2:00 pm,Alright,"Boyfriend | Reading | Travelling",""
2019-11-27,27 November,Wednesday,9:00 pm,Not happy,"Alone | Gaming",""
2019-11-27,27 November,Wednesday,2:00 pm,Depressed,"Colleagues | Work",""
2019-11-26,26 November,Tuesday,9:00 pm,Alright,"Alone | Dog walk | Gaming",""
2019-11-26,26 November,Tuesday,2:00 pm,Depressed,"Colleagues | Work",""
2019-11-25,25 November,Monday,9:00 pm,Happy,"Family | Dog walk | Watching TV | Reading",""
2019-11-25,25 November,Monday,2:00 pm,Depressed,"Colleagues | Work",""
2019-11-24,24 November,Sunday,9:00 pm,Happy,"Alone",""
2019-11-24,24 November,Sunday,2:00 pm,Great,"Boyfriend | Dog walk",""
2019-11-23,23 November,Saturday,9:00 pm,Happy,"Alone | Gaming | Reading",""
2019-11-23,23 November,Saturday,2:00 pm,Happy,"Boyfriend | Programming | Dined Out",""
2019-11-22,22 November,Friday,9:00 pm,Great,"Boyfriend | Dined Out",""
2019-11-22,22 November,Friday,2:00 pm,Alright,"Alone | Programming",""
2019-11-21,21 November,Thursday,9:00 pm,Great,"Alone | Programming",""
2019-11-21,21 November,Thursday,2:00 pm,Happy,"Alone | Family | Nails or hair | Programming | Shopping",""
2019-11-20,20 November,Wednesday,9:00 pm,Happy,"Alone | Gaming",""
2019-11-20,20 November,Wednesday,2:00 pm,Happy,"Alone | Family | Dog walk | Dined Out",""
2019-11-19,19 November,Tuesday,9:00 pm,Not happy,"Boyfriend | Strangers | Meetup",""
2019-11-19,19 November,Tuesday,2:00 pm,Happy,"Colleagues | Work | Programming",""
2019-11-18,18 November,Monday,9:00 pm,Happy,"Alone | Yoga | Gaming | Programming",""
2019-11-18,18 November,Monday,2:17 pm,Happy,"Colleagues | Work",""
2019-11-17,17 November,Sunday,9:00 pm,Happy,"Alone | Gaming | Programming",""
2019-11-17,17 November,Sunday,2:00 pm,Happy,"Alone | Boyfriend | Programming | Dined Out",""
2019-11-16,16 November,Saturday,9:00 pm,Great,"Alone | Family | Gaming",""
2019-11-16,16 November,Saturday,2:00 pm,Happy,"Family | Shopping",""
2019-11-15,15 November,Friday,9:43 pm,Happy,"Alone | Programming",""
2019-11-15,15 November,Friday,4:16 pm,Happy,"Boyfriend | Colleagues | Work | Programming",""
2019-11-14,14 November,Thursday,9:02 pm,Alright,"Family | Dined Out",""
2019-11-13,13 November,Wednesday,12:00 am,Depressed,"Colleagues | Work",""
2019-11-12,12 November,Tuesday,12:00 am,Depressed,"Colleagues | Work",""
2019-11-11,11 November,Monday,9:00 pm,Happy,"Alone | Family | Gaming",""
2019-11-11,11 November,Monday,2:37 pm,Alright,"Colleagues | Work",""
2019-11-10,10 November,Sunday,9:00 pm,Great,"Alone | Boyfriend | Family | Shopping",""
2019-11-10,10 November,Sunday,2:32 pm,Great,"Boyfriend | Shopping",""
2019-11-09,9 November,Saturday,9:15 pm,Happy,"Alone | Gaming",""
2019-11-09,9 November,Saturday,2:04 pm,Happy,"Strangers | Special Outing","DevFest"
2019-11-08,8 November,Friday,9:02 pm,Happy,"Boyfriend | Family | Gaming",""
2019-11-08,8 November,Friday,2:46 pm,Happy,"Alone | Boyfriend | Colleagues | Work",""
2019-11-07,7 November,Thursday,9:08 pm,Happy,"Alone | Special Outing","Women in Tech"
2019-11-07,7 November,Thursday,2:24 pm,Alright,"Alone | Programming","Interview"
2019-11-06,6 November,Wednesday,9:08 pm,Happy,"Alone | Watching TV | Gaming | Programming",""
2019-11-06,6 November,Wednesday,3:45 pm,Depressed,"Alone | Colleagues | Work",""
2019-11-05,5 November,Tuesday,9:01 pm,Alright,"Alone | Gaming | Programming",""
2019-11-05,5 November,Tuesday,2:47 pm,Happy,"Boyfriend | Shopping",""
2019-11-04,4 November,Monday,9:10 pm,Happy,"Boyfriend | Watching TV | Trees",""
2019-11-04,4 November,Monday,2:02 pm,Not happy,"Alone | Colleagues | Work",""
2019-11-03,3 November,Sunday,9:00 pm,Happy,"Alone | Boyfriend | Gaming | Shopping",""
2019-11-03,3 November,Sunday,2:05 pm,Alright,"Boyfriend | Cleaning",""
2019-11-02,2 November,Saturday,9:06 pm,Alright,"Alone | Watching TV",""
2019-11-02,2 November,Saturday,2:25 pm,Alright,"Alone | Boyfriend | Gaming | Programming",""
2019-11-01,1 November,Friday,10:05 pm,Happy,"Boyfriend | Watching TV | Trees | Shopping",""
2019-11-01,1 November,Friday,4:27 pm,Happy,"Boyfriend | Colleagues | Work | Programming",""
2019-10-31,31 October,Thursday,9:57 pm,Happy,"Alone | Yoga | Watching TV | Programming",""
2019-10-31,31 October,Thursday,2:13 pm,Happy,"Colleagues | Work | Programming | Dined Out",""
2019-10-30,30 October,Wednesday,9:12 pm,Great,"Alone | Family | Dog walk | Gaming | Programming",""
2019-10-30,30 October,Wednesday,1:59 pm,Alright,"Boyfriend | Colleagues | Work | Dined Out",""
2019-10-29,29 October,Tuesday,9:37 pm,Alright,"Alone | Programming",""
2019-10-29,29 October,Tuesday,2:07 pm,Depressed,"Colleagues | Work",""
2019-10-28,28 October,Monday,9:25 pm,Happy,"Alone | Yoga | Watching TV",""
2019-10-28,28 October,Monday,4:03 pm,Alright,"Colleagues | Work",""
2019-10-27,27 October,Sunday,9:12 pm,Happy,"Alone | Gaming",""
2019-10-27,27 October,Sunday,6:19 pm,Happy,"Alone | Boyfriend | Gaming | Programming",""
2019-10-26,26 October,Saturday,10:49 pm,Happy,"Alone | Boyfriend | Family | Watching TV",""
2019-10-26,26 October,Saturday,3:06 pm,Happy,"Alone | Nails or hair | Watching TV | Programming",""
2019-10-25,25 October,Friday,9:08 pm,Alright,"Alone | Colleagues | Work | Watching TV | Programming",""
2019-10-25,25 October,Friday,2:00 pm,Alright,"Colleagues | Work",""
2019-10-24,24 October,Thursday,10:13 pm,Happy,"Boyfriend | Movies",""
2019-10-24,24 October,Thursday,2:00 pm,Alright,"Colleagues | Work",""
2019-10-23,23 October,Wednesday,9:31 pm,Happy,"Alone | Family",""
2019-10-23,23 October,Wednesday,2:00 pm,Depressed,"Colleagues | Work",""
2019-10-22,22 October,Tuesday,9:08 pm,Depressed,"Alone | Family | Work | Gaming",""
2019-10-22,22 October,Tuesday,2:00 pm,Not happy,"Boyfriend | Colleagues | Work | Shopping",""
2019-10-21,21 October,Monday,9:00 pm,Alright,"Alone | Yoga | Gaming",""
2019-10-21,21 October,Monday,2:28 pm,Alright,"Colleagues | Work",""
2019-10-20,20 October,Sunday,9:23 pm,Happy,"Boyfriend | Dined Out",""
2019-10-20,20 October,Sunday,2:23 pm,Alright,"Family | Gaming | Shopping",""
2019-10-19,19 October,Saturday,9:00 pm,Happy,"Family | Dog walk | Gaming",""
2019-10-19,19 October,Saturday,2:39 pm,Happy,"Alone | Boyfriend | Family",""
2019-10-18,18 October,Friday,9:15 pm,Not happy,"Boyfriend | Travelling",""
2019-10-17,17 October,Thursday,12:14 pm,Not happy,"Boyfriend | Travelling",""
2019-10-16,16 October,Wednesday,9:04 pm,Happy,"Boyfriend | Watching TV | Drinks | On Holiday",""
2019-10-16,16 October,Wednesday,2:16 pm,Alright,"Boyfriend | On Holiday",""
2019-10-15,15 October,Tuesday,9:09 pm,Happy,"Boyfriend | Watching TV | On Holiday",""
2019-10-15,15 October,Tuesday,2:45 pm,Great,"Boyfriend | Special Outing | On Holiday","Hike"
2019-10-14,14 October,Monday,9:33 pm,Alright,"Boyfriend | On Holiday",""
2019-10-14,14 October,Monday,2:17 pm,Happy,"Boyfriend | Special Outing | On Holiday","Zip lining / beach"
2019-10-13,13 October,Sunday,9:08 pm,Happy,"Boyfriend | Watching TV | On Holiday",""
2019-10-13,13 October,Sunday,2:23 pm,Great,"Boyfriend | Shopping | On Holiday",""
2019-10-12,12 October,Saturday,2:00 pm,Happy,"Boyfriend | On Holiday | Travelling",""
2019-10-11,11 October,Friday,9:31 pm,Happy,"Boyfriend | Watching TV | Movies | On Holiday",""
2019-10-10,10 October,Thursday,9:13 pm,Alright,"Boyfriend | Special Outing | On Holiday",""
2019-10-10,10 October,Thursday,2:07 pm,Great,"Boyfriend | Special Outing | On Holiday","Polynesian Cultural Centre"
2019-10-09,9 October,Wednesday,9:12 pm,Great,"Boyfriend | Watching TV | Shopping | On Holiday",""
2019-10-09,9 October,Wednesday,2:00 pm,Great,"Boyfriend | Special Outing | On Holiday","Aquarium"
2019-10-08,8 October,Tuesday,10:34 pm,Great,"Boyfriend | Gaming | On Holiday",""
2019-10-08,8 October,Tuesday,3:12 pm,Great,"Boyfriend | Special Outing | On Holiday","Snorkelling"
2019-10-07,7 October,Monday,9:00 pm,Depressed,"Boyfriend | Drinks | On Holiday",""
2019-10-07,7 October,Monday,2:00 pm,Happy,"Boyfriend | Shopping | On Holiday",""
2019-10-06,6 October,Sunday,9:33 pm,Alright,"Boyfriend | On Holiday",""
2019-10-06,6 October,Sunday,9:00 pm,Happy,"Boyfriend | Travelling",""
2019-10-06,6 October,Sunday,2:38 pm,Happy,"Boyfriend | On Holiday | Travelling",""
