full_date,date,weekday,time,mood,activities,note
2019-08-23,23 August,Friday,12:36 pm,Happy,"Work",""
2019-08-22,22 August,Thursday,10:36 pm,Happy,"Work | Study",""
2019-08-22,22 August,Thursday,1:22 pm,Alright,"Work",""
2019-08-21,21 August,Wednesday,9:41 pm,Happy,"Work | Study",""
2019-08-21,21 August,Wednesday,1:20 pm,Depressed,"Work",""
2019-08-20,20 August,Tuesday,10:10 pm,Depressed,"Work",""
2019-08-19,19 August,Monday,11:30 pm,Depressed,"Work | Study",""
2019-08-18,18 August,Sunday,9:40 pm,Happy,"Relax | Sport",""
2019-08-18,18 August,Sunday,12:08 pm,Happy,"Relax | coffee",""
2019-08-17,17 August,Saturday,9:58 pm,Happy,"Family | Relax | Shopping",""
2019-08-17,17 August,Saturday,12:50 pm,Happy,"Relax | Shopping",""
2019-08-16,16 August,Friday,12:21 pm,Happy,"Work | coffee",""
2019-08-15,15 August,Thursday,9:48 pm,Alright,"Work",""
2019-08-15,15 August,Thursday,12:13 pm,Alright,"Work",""
2019-08-14,14 August,Wednesday,10:18 pm,Alright,"Work | Study",""
2019-08-13,13 August,Tuesday,9:30 pm,Depressed,"Work | Relax",""
2019-08-12,12 August,Monday,9:35 pm,Not happy,"Work | Yoga | Relax",""
2019-08-11,11 August,Sunday,9:30 pm,Alright,"Relax",""
2019-08-10,10 August,Saturday,9:38 pm,Happy,"Family | Relax",""
2019-08-09,9 August,Friday,10:41 pm,Happy,"Boyfriend | Work",""
2019-08-09,9 August,Friday,2:38 pm,Alright,"Work",""
2019-08-08,8 August,Thursday,9:43 pm,Happy,"Friends | Work | Drinks",""
2019-08-08,8 August,Thursday,12:54 pm,Alright,"Work",""
2019-08-07,7 August,Wednesday,10:04 pm,Happy,"Work","Monash Industry Night"
2019-08-07,7 August,Wednesday,12:02 pm,Happy,"Relax",""
2019-08-06,6 August,Tuesday,9:41 pm,Alright,"Boyfriend | Work | Relax",""
2019-08-05,5 August,Monday,9:34 pm,Happy,"Work | Yoga",""
2019-08-04,4 August,Sunday,9:50 pm,Happy,"Boyfriend | Relax | coffee",""
2019-08-03,3 August,Saturday,9:42 pm,Happy,"Family | Relax | Study | coffee",""
2019-08-02,2 August,Friday,9:59 pm,Alright,"Work | Study",""
2019-08-02,2 August,Friday,12:16 pm,Not happy,"Work",""
2019-08-01,1 August,Thursday,9:30 pm,Happy,"Work | Yoga | Relax",""
2019-07-31,31 July,Wednesday,11:52 pm,Alright,"Work | Study",""
2019-07-31,31 July,Wednesday,4:39 pm,Alright,"Work",""
2019-07-30,30 July,Tuesday,9:50 pm,Alright,"Work | Study",""
2019-07-29,29 July,Monday,10:28 pm,Alright,"Work | Yoga",""
2019-07-28,28 July,Sunday,9:38 pm,Happy,"Relax | Study | Sport",""
2019-07-28,28 July,Sunday,12:16 pm,Happy,"Relax | Study",""
2019-07-27,27 July,Saturday,9:35 pm,Happy,"Boyfriend | Relax | Study | coffee",""
2019-07-27,27 July,Saturday,12:19 pm,Alright,"Relax | Study",""
2019-07-26,26 July,Friday,9:35 pm,Alright,"Relax",""
2019-07-26,26 July,Friday,12:05 pm,Not happy,"Relax","Sick"
2019-07-25,25 July,Thursday,9:35 pm,Alright,"Work | Study",""
2019-07-25,25 July,Thursday,12:11 pm,Not happy,"Work",""
2019-07-24,24 July,Wednesday,9:42 pm,Happy,"Boyfriend | Work | Study | Dined Out",""
2019-07-24,24 July,Wednesday,1:00 pm,Alright,"Work",""
2019-07-23,23 July,Tuesday,9:39 pm,Happy,"Yoga | Study",""
2019-07-23,23 July,Tuesday,7:28 pm,Happy,"Work | Yoga",""
2019-07-22,22 July,Monday,9:37 pm,Happy,"Relax",""
2019-07-22,22 July,Monday,12:21 pm,Alright,"Relax | Study",""
2019-07-21,21 July,Sunday,10:42 pm,Alright,"Relax | Study | Sport",""
2019-07-21,21 July,Sunday,12:12 pm,Alright,"Relax | coffee",""
2019-07-20,20 July,Saturday,11:05 pm,Happy,"Relax | Study",""
2019-07-20,20 July,Saturday,12:41 pm,Happy,"Relax | Cleaning",""
2019-07-19,19 July,Friday,10:46 pm,Depressed,"Work",""
2019-07-18,18 July,Thursday,10:34 pm,Happy,"Work | Yoga | Study",""
2019-07-18,18 July,Thursday,12:47 pm,Alright,"Work",""
2019-07-17,17 July,Wednesday,9:53 pm,Happy,"Work | Relax",""
2019-07-17,17 July,Wednesday,12:17 pm,Happy,"Work",""
2019-07-16,16 July,Tuesday,8:22 pm,Alright,"Work | Study",""
2019-07-15,15 July,Monday,7:05 pm,Happy,"Work | Yoga | Study",""
2019-07-14,14 July,Sunday,9:50 pm,Happy,"Relax | Study | Dined Out | Sport",""
2019-07-13,13 July,Saturday,9:40 pm,Great,"Family | Yoga | Relax | coffee",""
2019-07-12,12 July,Friday,7:00 pm,Not happy,"Work",""
2019-07-11,11 July,Thursday,7:04 pm,Happy,"Work | Yoga",""
2019-07-10,10 July,Wednesday,7:46 pm,Happy,"Relax | Study",""
2019-07-09,9 July,Tuesday,7:22 pm,Happy,"Work",""
2019-07-08,8 July,Monday,7:30 pm,Happy,"Work | Yoga",""
2019-07-07,7 July,Sunday,7:40 pm,Alright,"Relax",""
2019-07-06,6 July,Saturday,7:16 pm,Great,"Boyfriend | Relax | Cooking | Cleaning | coffee",""
2019-07-05,5 July,Friday,7:03 pm,Happy,"Work | Relax",""
2019-07-04,4 July,Thursday,8:44 pm,Not happy,"Work | Yoga",""
2019-07-03,3 July,Wednesday,7:04 pm,Not happy,"Work",""
2019-07-02,2 July,Tuesday,8:01 pm,Happy,"Friends | Work | Drinks",""
2019-07-01,1 July,Monday,8:00 pm,Happy,"Work",""
2019-06-30,30 June,Sunday,7:42 pm,Happy,"Yoga | Relax | Sport",""
2019-06-29,29 June,Saturday,8:54 pm,Happy,"Boyfriend | Relax | coffee",""
2019-06-28,28 June,Friday,7:54 pm,Not happy,"Work | Drinks",""
2019-06-27,27 June,Thursday,8:00 pm,Depressed,"Work",""
2019-06-26,26 June,Wednesday,10:54 pm,Happy,"Friends | Work | Drinks",""
2019-06-25,25 June,Tuesday,7:00 pm,Depressed,"Work",""
2019-06-24,24 June,Monday,8:19 pm,Alright,"Work | Yoga",""
2019-06-23,23 June,Sunday,7:18 pm,Great,"Family | Yoga | Relax | Sport",""
